epoch,accuracy,loss,val_accuracy,val_loss
0,0.3517852,1.340945589651271,0.469740629196167,1.264577985153418
1,0.6543039,0.9892837326182838,0.6685879230499268,0.8850525454416742
2,0.7929698,0.5693102506861408,0.6945244669914246,0.7900288063785872
3,0.84749514,0.41016487967364185,0.6743515729904175,0.7741524096181138
4,0.88292277,0.3248332017450626,0.7118155360221863,0.7803545745374146
5,0.9067257,0.2625459785148638,0.7204610705375671,0.808881503188988
6,0.92554665,0.2162623701211392,0.7031700015068054,0.8721243888569153
7,0.94326043,0.18171611816874675,0.6974063515663147,0.917736134886398
8,0.9504567,0.15438088390707078,0.6916426420211792,0.9912148147220227
9,0.9570994,0.13502668552440913,0.6916426420211792,1.0393673906408745
10,0.9629117,0.1251850563330628,0.7002881765365601,1.0918661294134617
11,0.9665098,0.11332897459193672,0.6858789920806885,1.1326774018642194
12,0.96706337,0.1056283207194209,0.6743515729904175,1.1634970604514525
13,0.9706615,0.09472765596395313,0.6829971075057983,1.227978232271046
14,0.97259897,0.08962709071058465,0.6657060384750366,1.3439739664281136
15,0.9739828,0.08138491180636465,0.7118155360221863,1.2276417693761996
16,0.97508997,0.08136356552485907,0.6916426420211792,1.2930122321895632
17,0.9745364,0.08233936969886814,0.6945244669914246,1.376264358803587
18,0.97647387,0.07415819508553277,0.6858789920806885,1.3424318863953912
19,0.9739828,0.07772033193906258,0.7031700015068054,1.330342568993912
20,0.9784113,0.06595021939751121,0.6974063515663147,1.4066944091395617
21,0.9784113,0.06858882456069305,0.6916426420211792,1.4402284409195958
22,0.97896487,0.06109599928726557,0.6829971075057983,1.4996772898033648
23,0.97730416,0.07305113396612753,0.680115282535553,1.5069958401001153
24,0.97619706,0.06133496554384362,0.680115282535553,1.5174232130435428
